;;;;;;;;;;;;;;;;;;;;
State Approved Textbook List 2007;;;;;;;;;;;;;;;;;;;;
3/25/2008;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
DistrictName;;;;SubjectDesc;;ISBN10;;Title;;;;;;Author;;;Publisher;;;PublicationYear
Bristol;;;;English/Lang;;1886050678;;Sitton;;;;;;;;Northwest Textbooks;;;2006;
Bristol;;;;English/Lang;;1886050686;;Sitton;;;;;;;;Northwest Textbooks;;;2006;
Bristol;;;;English/Lang;;1886050694;;Sitton;;;;;;;;Northwest Textbooks;;;2006;
Bristol;;;;English/Lang;;618170340;;Language of Literature;;;;;;Applebee, Bermudz;;;McDougall Littell;;;2002
Bristol;;;;English/Lang;;618170472;;American Literature;;;;;;Applebee, Bermudz;;;McDougall Littell;;;2000
Bristol;;;;English/Lang;;618170758;;British Literature;;;;;;Applebee, Bermudz;;;McDougall Littell;;;2000
Bristol;;;;English/Lang;;618087184;;World Literature;;;;;;Applebee, Bermudz;;;McDougall Littell;;;2002
Bristol;;;;English/Lang;;590566369;;Literacy Source;;;;;;Scholastic;;;Scholastic;;;1996
Bristol;;;;English/Lang;;134116534;;Choices in Literature;;;;;;;;Prentice Hall;;;1997;
Bristol;;;;English/Lang;;13411471X;;Deciding What's Right;;;;;;;;Prentice Hall;;;1997;
Bristol;;;;English/Lang;;134115627;;Community Explosion;;;;;;;;Prentice Hall;;;1997;
Bristol;;;;English/Lang;;134115392;;You Are the Solution;;;;;;;;Prentice Hall;;;1997;
Bristol;;;;English/Lang;;134114485;;The Me You See;;;;;;;;Prentice Hall;;;1997;
Bristol;;;;English/Lang;;134155058;;Where Paths Meet;;;;;;;;Prentice Hall;;;1997;
Bristol;;;;English/Lang;;138287732;;Writers Solution : Copper;;;;;;;;Prentice Hall;;;1997;
Bristol;;;;English/Lang;;134116208;;Myself My World;;;;;;;;Prentice Hall;;;1997;
Bristol;;;;English/Lang;;134116798;;American Tapestry;;;;;;;;Prentice Hall;;;1997;
Bristol;;;;English/Lang;;134116534;;Justice For All;;;;;;;;Prentice Hall;;;1997;
Bristol;;;;English/Lang;;134138813;;Charting Your Own Course;;;;;;;;Prentice Hall;;;1997;
Bristol;;;;English/Lang;;134138570;;Making A Difference;;;;;;;;Prentice Hall;;;1997;
Bristol;;;;English/Lang;;138287996;;Writers Solution: Silver;;;;;;;;Prentice Hall;;;1997;
Bristol;;;;English/Lang;;138382107;;Prentice Hall Literature:Bronze;;;;;;;;Prentice Hall;;;1996;
Bristol;;;;English/Lang;;138382026;;Prentice Hall Literature:Copper;;;;;;;;Prentice Hall;;;1996;
Bristol;;;;English/Lang;;138382360;;Prentice Hall Literature:Silver;;;;;;;;Prentice Hall;;;1996;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Page 4 of 141;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
DistrictName;;;;SubjectDesc;;ISBN10;;Title;;;;;;Author;;;Publisher;;;PublicationYear
Bristol;;;;Foreign ;;78291801;;Buen Viaje II;;;;;;Schmitt & Woodford;;;Glencoe;;;2003
Bristol;;;;Foreign ;;67335038X;;C'est Ca;;;;;;Valdrian;;;Scott Foresman;;;1990
Bristol;;;;Foreign ;;155006452;;Ciao;;;;;;Federici Ca;;;Holt, Reinhart;;;1994
Bristol;;;;Foreign ;;673216276;;Dis Moi;;;;;;Valdrian;;;Scott Foresman;;;1993
Bristol;;;;Foreign ;;673207226;;Pasos Y Puentes;;;;;;Reynolds;;;Scott Foresman;;;1989
Bristol;;;;Foreign ;;942566408;;Portugal Lingua E. Cultura;;;;;;Lathrop;;;Lingua Text;;;1995
Bristol;;;;Foreign ;;673350371;;Viens Voir;;;;;;Valdrian;;;Scott Foresman;;;1989
Bristol;;;;Foreign ;;67320720X;;Voices Y Vistas;;;;;;Reynolds;;;Scott Foresman;;;1990
Bristol;;;;Foreign ;;673207242;;Arcos Y Alamedas;;;;;;Reynolds;;;Scott Foresman;;;1989
Bristol;;;;Foreign ;;932027555;;Bom Dia;;;;;;Matos;;;Spinner;;;2002
Bristol;;;;History/Socia;;13050226X;;Geography Tools & Concepts;;;;;;Explorer Series;;;Prentice Hall;;;2001
Bristol;;;;History/Socia;;130502162;;World Explorer: Africa;;;;;;Explorer Series;;;Prentice Hall;;;2001
Bristol;;;;History/Socia;;130502286;;World Explorer: Latin America;;;;;;Explorer Series;;;Prentice Hall;;;2001
Bristol;;;;History/Socia;;134336879;;The Ancient World;;;;;;Jacobs, Randolph;;;Glencoe;;;1998
Bristol;;;;History/Socia;;130502189;;World Explorer: Ancient World;;;;;;Bedoya;;;Prentice Hall;;;2000
Bristol;;;;History/Socia;;130502316;;Medieval Times Today;;;;;;Explorer Series;;;Prentice Hall;;;2000
Bristol;;;;History/Socia;;130502243;;World Explorer: Europe & Russia;;;;;;Explorer Series;;;Prentice Hall;;;2000
Bristol;;;;History/Socia;;134337026;;World Explorer: Geog, Tools & Concepts;;;;;;Jacobs, Randolph;;;Prentice Hall;;;1998
Bristol;;;;History/Socia;;134336976;;World Explorer: Medieval Times;;;;;;Jacobs, Randolph;;;Prentice Hall;;;1998
Bristol;;;;History/Socia;;28216857;;The American Journey;;;;;;Applehy, Brinkley;;;Glencoe;;;2000
Bristol;;;;History/Socia;;516004859;;Rhode Island-America The Beautiful;;;;;;Cipriano;;;Children's Press;;;1990
Bristol;;;;History/Socia;;28231972;;Human Heritage;;;;;;Greenblatt, Lemmo;;;Glencoe;;;1995
Bristol;;;;History/Socia;;28231872;;Human Heritage;;;;;;Greenblatt, Lemmo;;;Glencoe;;;1995
Bristol;;;;History/Socia;;28223128;;American History Early Years;;;;;;Ritchie;;;McGraw-Hill;;;1997
Bristol;;;;History/Socia;;28223659;;American History Modern Era;;;;;;Bragdon;;;McGraw-Hill;;;1997
Bristol;;;;History/Socia;;134337018;;Medieval Times Today;;;;;;Jacobs, Randolph;;;Prentice Hall;;;1998
Bristol;;;;History/Socia;;13050226;;Geography Tools & Concepts;;;;;;Bedoya;;;Prentice Hall;;;1998
Bristol;;;;History/Socia;;134343263;;World History Connections to Today;;;;;;E. Gaynor;;;Prentice Hall;;;1999
Bristol;;;;History/Socia;;138338078;;A History of the United States;;;;;;D. Boorstin;;;Prentice Hall;;;1996
Bristol;;;;History/Socia;;130536245;;A History of the United States;;;;;;D. Boorstin;;;Prentice Hall;;;2002
Bristol;;;;History/Socia;;61810349X;;The American Pageant 12th Ed.;;;;;;Bailey, Kennedy;;;McDougall Littell;;;2002
Bristol;;;;History/Socia;;590356976;;American Adventures;;;;;;Ira Peck;;;Scholastic;;;1991
Bristol;;;;History/Socia;;134322045;;The American Nation;;;;;;Davidson, Castillo;;;Prentice Hall;;;2002
Bristol;;;;History/Socia;;62508113;;The World's Religions;;;;;;Huston Smith;;;Harper Collins;;;1991
Bristol;;;;History/Socia;;130257141;;Today's Isms: Socialism Capitalism;;;;;;Ebenstein;;;Prentice Hall;;;2000
Bristol;;;;History/Socia;;314027130;;Street Law;;;;;;Arbermann;;;West Publishing;;;1994
Bristol;;;;History/Socia;;618170464;;A History of The Western Society;;;;;;McKay, Hill;;;Houghton Mifflin;;;2003
